id,brand,name,species,category,variants,image_url
royal-puppy-pro-tech-perro,Royal Canin,Puppy Pro Tech,dog,dry,300g:$62.41,
royal-babydog-milk-perro,Royal Canin,Babydog Milk,dog,dry,unidad:$44.55,
royal-starter-mousse-mother-babydog-perro,Royal Canin,Starter Mousse Mother & Babydog,dog,wet,195g:$7.05,
royal-x-small-puppy-perro,Royal Canin,X - Small Puppy,dog,dry,500g:$16.88|1.5kg:$40.09,
royal-size-xs-x-small-adult-perro,Royal Canin,Size Xs X - Small Adult,dog,dry,500g:$15.09|1.5kg:$35.63,
royal-size-xs-x-small-adult-8-perro,Royal Canin,Size Xs X - Small Adult 8+,dog,dry,500g:$15.09|1.5kg:$35.63,
royal-mini-starter-perro,Royal Canin,Mini Starter,dog,dry,1kg:$22.23,
royal-mini-puppy-perro,Royal Canin,Mini Puppy,dog,dry,800g:$17.77|2kg:$40.09|4kg:$62.41|4kg:$66.88,
royal-size-s-mini-adult-perro,Royal Canin,Size S Mini Adult,dog,dry,2kg:$35.63|4kg:$57.95|4kg:$62.41|8kg:$98.12,
royal-mini-sterilised-perro,Royal Canin,Mini Sterilised,dog,dry,3kg:$57.95|8kg:$107.05,
royal-mini-light-weight-care-perro,Royal Canin,Mini Light Weight Care,dog,dry,1kg:$22.23|3kg:$57.95,
royal-mini-dermacomfort-perro,Royal Canin,Mini Dermacomfort,dog,dry,1kg:$22.23|3kg:$57.95|8kg:$111.52,
royal-size-s-mini-adult-8-perro,Royal Canin,Size S Mini Adult 8+,dog,dry,2kg:$35.63,
royal-medium-starter-perro,Royal Canin,Medium Starter,dog,dry,1kg:$17.77|4kg:$62.41,
royal-medium-puppy-perro,Royal Canin,Medium Puppy,dog,dry,1kg:$13.30|4kg:$44.55,
royal-medium-puppy-15k-perro,Royal Canin,Medium Puppy 15kg,dog,dry,15kg:$124.91,
royal-medium-adult-perro,Royal Canin,Medium Adult,dog,dry,4kg:$40.09,
royal-medium-adult-15k-perro,Royal Canin,Medium Adult 15kg,dog,dry,15kg:$115.98,
royal-medium-light-weight-care-perro,Royal Canin,Medium Light Weight Care,dog,dry,3kg:$44.55|12kg:$149.90,
royal-medium-dermaconfort-perro,Royal Canin,Medium Dermaconfort,dog,dry,3kg:$53.48|12kg:$149.90,
royal-medium-adult-7-perro,Royal Canin,Medium Adult 7+,dog,dry,4kg:$40.09|15kg:$115.98,
royal-maxi-starter-perro,Royal Canin,Maxi Starter,dog,dry,4kg:$53.48|15kg:$142.77,
royal-maxi-puppy-perro,Royal Canin,Maxi Puppy,dog,dry,1kg:$13.30|4kg:$44.55,
royal-maxi-puppy-15k-perro,Royal Canin,Maxi Puppy 15kg,dog,dry,15kg:$133.84,
royal-size-l-maxi-adult-perro,Royal Canin,Size L Maxi Adult,dog,dry,4kg:$35.63|15kg:$124.91,
royal-maxi-light-weight-care-perro,Royal Canin,Maxi Light Weight Care,dog,dry,3kg:$44.55|12kg:$149.90,
royal-maxi-dermacomforte-perro,Royal Canin,Maxi Dermacomfort,dog,dry,3kg:$51.70|12kg:$149.90,
royal-size-maxi-adult-5-perro,Royal Canin,Size Maxi Adult 5+,dog,dry,4kg:$35.63|15kg:$124.91,
royal-mini-puppy-x-12-perro,Royal Canin,Mini Puppy (12 pouches),dog,wet,85g x12:$35.63,
royal-mini-adult-x-12-perro,Royal Canin,Mini Adult (12 pouches),dog,wet,85g x12:$35.63,
royal-medium-puppy-x-10-perro,Royal Canin,Medium Puppy (10 trays),dog,wet,140g x10:$38.30,
royal-medium-adult-x-10-perro,Royal Canin,Medium Adult (10 trays),dog,wet,140g x10:$38.30,
royal-maxi-puppy-x-10-perro,Royal Canin,Maxi Puppy (10 trays),dog,wet,140g x10:$38.30,
royal-maxi-adult-x-10-perro,Royal Canin,Maxi Adult (10 trays),dog,wet,140g x10:$38.30,
royal-pomeranian-perro,Royal Canin,Pomeranian,dog,dry,1.5kg:$44.90,
royal-chihuahua-puppy-perro,Royal Canin,Chihuahua Puppy,dog,dry,500g:$17.77|1.5kg:$42.77,
royal-chihuahua-adult-perro,Royal Canin,Chihuahua Adult,dog,dry,1.5kg:$40.09,
royal-yorkshire-terrier-puppy-perro,Royal Canin,Yorkshire Terrier Puppy,dog,dry,1.5kg:$40.09,
royal-yorkshire-terrier-adult-perro,Royal Canin,Yorkshire Terrier Adult,dog,dry,1.5kg:$35.63|3kg:$62.41,
royal-poodle-puppy-perro,Royal Canin,Poodle Puppy,dog,dry,3kg:$57.95,
royal-poodle-adult-perro,Royal Canin,Poodle Adult,dog,dry,1.5kg:$31.16,
royal-shih-tzu-puppy-perro,Royal Canin,Shih Tzu Puppy,dog,dry,1.5kg:$49.02,
royal-shih-tzu-perro,Royal Canin,Shih Tzu (Junior),dog,dry,500g:$15.98,
royal-shih-tzu-adult-perro,Royal Canin,Shih Tzu Adult,dog,dry,1.5kg:$44.55,
royal-pug-puppy-perro,Royal Canin,Pug Puppy,dog,dry,1.5kg:$35.63,
royal-pug-adult-perro,Royal Canin,Pug Adult,dog,dry,1.5kg:$31.16,
royal-french-bulldog-puppy-perro,Royal Canin,French Bulldog Puppy,dog,dry,3kg:$62.41|10kg:$165.09,
royal-french-bulldog-adult-perro,Royal Canin,French Bulldog Adult,dog,dry,3kg:$53.48|9kg:$142.77,
royal-bulldog-puppy-perro,Royal Canin,Bulldog Puppy,dog,dry,3kg:$57.95|12kg:$178.48,
royal-bulldog-adult-perro,Royal Canin,Bulldog Adult,dog,dry,3kg:$53.48|12kg:$160.63,
royal-golden-retriever-adult-perro,Royal Canin,Golden Retriever Adult,dog,dry,3kg:$44.55|12kg:$129.38,
royal-yorkshire-terrier-adult-gato,Royal Canin,Yorkshire Terrier Adult (Cat Pouch),cat,wet,85g:$4.38,
royal-chihuahua-adult-gato,Royal Canin,Chihuahua Adult (Cat Pouch),cat,wet,85g:$4.38,
royal-kitten-persian-gato,Royal Canin,Kitten Persian,cat,dry,400g:$13.30|2kg:$53.48,
royal-persian-gato,Royal Canin,Persian,cat,dry,400g:$13.30|2kg:$44.55|10kg:$169.55,
royal-persian-x-12-gato,Royal Canin,Persian (12 pouches),cat,wet,85g x12:$53.48,
royal-babycat-milk-gato,Royal Canin,Babycat Milk,cat,dry,300g:$44.55,
royal-mother-babycat-gato,Royal Canin,Mother & Babycat,cat,dry,400g:$10.63|2kg:$42.77,
royal-kitten-gato,Royal Canin,Kitten,cat,dry,400g:$9.73|2kg:$40.09,
royal-kitten-sterilised-gato,Royal Canin,Kitten Sterilised,cat,dry,400g:$13.30|2kg:$40.09,
royal-sterilised-gato,Royal Canin,Sterilised,cat,dry,400g:$11.52|2kg:$35.63|10kg:$133.84,
royal-sensible-gato,Royal Canin,Sensible,cat,dry,400g:$10.63,
royal-sensible33-gato,Royal Canin,Sensible 33,cat,dry,2kg:$40.09,
royal-exigent-gato,Royal Canin,Exigent,cat,dry,2kg:$40.09,
royal-fit-gato,Royal Canin,Fit,cat,dry,400g:$8.84|10kg:$120.45,
royal-fit-32-gato,Royal Canin,Fit 32,cat,dry,2kg:$31.16,
royal-indoor-7-gato,Royal Canin,Indoor 7+,cat,dry,1.5kg:$33.84,
royal-ageing-12-gato,Royal Canin,Ageing 12+,cat,dry,2kg:$52.09,
